,City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
0,Ribeira Grande,PT,38.52,77.0,57,20,14.99
1,Mataura,NZ,-46.19,40.65,83,83,8.23
2,Vaini,IN,15.34,77.91,88,88,2.04
3,Viesca,MX,25.34,85.35,38,40,4.7
4,Togul,RU,53.47,65.13,62,0,9.71
5,Polovinnoye,RU,54.79,68.19,80,1,9.44
6,Busselton,AU,-33.64,48.31,61,22,19.28
7,Butaritari,KI,3.07,83.31,69,4,4.03
8,Victoria,BN,5.28,77.43,88,75,2.24
9,Beringovskiy,RU,63.05,53.97,88,86,3.13
10,Taoudenni,ML,22.68,108.51,13,54,12.15
11,Nikolskoye,RU,59.7,58.66,59,20,2.24
12,Provideniya,RU,64.42,52.35,81,89,5.03
13,Avarua,CK,-21.21,66.2,77,0,1.12
14,Norman Wells,CA,65.28,57.2,82,75,2.24
15,Atuona,PF,-9.8,79.71,75,7,16.69
16,Mar del Plata,AR,-46.43,45.15,59,100,5.66
17,Mar del Plata,AR,-46.43,45.15,59,100,5.66
18,Iskateley,RU,67.68,50.73,91,91,6.78
19,Hami,CN,42.84,85.83,15,82,15.35
20,Rikitea,PF,-23.12,74.49,85,8,14.23
21,Hanko,FI,59.83,62.47,65,77,1.99
22,Nanortalik,GL,60.14,40.11,89,97,9.01
23,Praia da Vitoria,PT,38.73,75.63,69,40,7.2
24,Kaitangata,NZ,-46.28,41.0,73,42,4.0
25,Saint-Philippe,CA,45.36,74.34,68,90,14.99
26,Punta Arenas,CL,-53.16,39.09,93,75,8.05
27,Albany,US,42.65,81.16,48,20,11.41
28,Taoudenni,ML,22.68,108.51,13,54,12.15
29,Daru,PG,-9.07,73.23,90,100,9.75
30,Luba,PH,17.32,74.85,93,89,3.58
31,Ballina,IE,54.11,69.48,56,20,4.7
32,Bluff,AU,-23.58,43.71,57,50,4.79
33,Izumo,JP,35.37,71.6,88,75,4.7
34,Ribeira Grande,PT,38.52,77.0,57,20,14.99
35,Lompoc,US,34.64,66.25,72,1,4.7
36,Butaritari,KI,3.07,83.31,69,4,4.03
37,Rikitea,PF,-23.12,74.49,85,8,14.23
38,Cape Town,ZA,-33.93,55.4,76,0,6.93
39,Vaini,IN,15.34,77.91,88,88,2.04
40,Solnechnyy,RU,50.72,60.09,90,100,1.3
41,Provideniya,RU,64.42,52.35,81,89,5.03
42,Umba,RU,66.69,51.63,69,90,7.9
43,Butaritari,KI,3.07,83.31,69,4,4.03
44,Grindavik,IS,63.84,55.4,100,90,13.87
45,Port Macquarie,AU,-31.43,49.98,49,0,8.05
46,Mingyue,CN,43.11,55.05,98,98,2.1
47,Nishihara,JP,35.74,68.79,100,90,5.82
48,Viedma,AR,-40.81,56.85,36,100,14.72
49,Narsaq,GL,60.91,64.4,42,75,6.93
50,Rikitea,PF,-23.12,74.49,85,8,14.23
51,Hithadhoo,MV,-0.6,83.67,75,18,9.66
52,Tiksi,RU,71.64,40.47,72,35,1.9
53,Kapaa,US,22.08,77.65,88,75,13.87
54,Vaini,IN,15.34,77.91,88,88,2.04
55,Upernavik,GL,72.79,44.61,88,2,4.07
56,Jamestown,AU,-33.21,47.13,86,71,9.73
57,Beringovskiy,RU,63.05,53.97,88,86,3.13
58,Chicama,PE,-7.84,66.2,77,90,9.17
59,Dvinskoy,RU,62.16,54.87,75,50,1.36
60,Ancud,CL,-41.87,48.2,81,75,12.75
61,Sydney,AU,-33.85,51.15,53,0,6.93
62,Dingle,PH,11.0,73.23,90,99,4.25
63,Ushuaia,AR,-54.81,41.0,86,20,2.66
64,Arraial do Cabo,BR,-22.97,83.32,54,0,4.7
65,Berlevag,NO,70.86,45.61,81,75,11.41
66,Pisco,PE,-13.71,66.83,30,90,5.82
67,San Vicente,EC,-0.59,77.0,78,40,13.87
68,Ushuaia,AR,-54.81,41.0,86,20,2.66
69,Severo-Kurilsk,RU,50.68,43.71,93,59,10.45
70,Tiksi,RU,71.64,40.47,72,35,1.9
71,Tiznit,MA,29.7,69.09,90,0,9.17
72,Hami,CN,42.84,85.83,15,82,15.35
73,Albany,US,42.65,81.16,48,20,11.41
74,Constitucion,MX,23.99,73.62,53,5,4.7
75,Severo-Kurilsk,RU,50.68,43.71,93,59,10.45
76,Carnarvon,ZA,-30.97,59.19,20,0,9.86
77,Sitka,US,37.17,84.99,50,17,7.0
78,Avarua,CK,-21.21,66.2,77,0,1.12
79,Ushuaia,AR,-54.81,41.0,86,20,2.66
80,Ouallam,NE,14.32,98.79,26,52,1.45
81,Port Alfred,ZA,-33.59,63.0,90,8,5.01
82,Albany,US,42.65,81.16,48,20,11.41
83,Cayenne,GF,4.94,89.6,62,0,8.05
84,Suez,EG,29.97,80.07,51,0,17.54
85,Torbay,CA,47.66,53.47,100,90,11.41
86,Sitka,US,37.17,84.99,50,17,7.0
87,Bongandanga,CD,1.51,76.29,78,81,3.44
88,Rikitea,PF,-23.12,74.49,85,8,14.23
89,Ribeira Grande,PT,38.52,77.0,57,20,14.99
90,Albany,US,42.65,81.16,48,20,11.41
91,Port Alfred,ZA,-33.59,63.0,90,8,5.01
92,Katsuura,JP,33.93,71.51,94,75,8.05
93,Sanchor,IN,24.76,85.65,65,28,23.71
94,Klaksvik,FO,62.23,53.6,100,100,5.82
95,Busselton,AU,-33.64,48.31,61,22,19.28
96,Anapolis,LT,55.81,58.83,73,35,5.57
97,Namibe,AO,-15.19,69.8,77,0,12.75
98,Yellowknife,CA,62.45,64.85,39,20,9.17
99,Albany,US,42.65,81.16,48,20,11.41
100,Ushibuka,JP,32.19,74.31,85,74,5.66
101,Provideniya,RU,64.42,52.35,81,89,5.03
102,Rogozno,PL,52.75,70.75,56,0,9.17
103,Yellowknife,CA,62.45,64.85,39,20,9.17
104,Tasiilaq,GL,65.61,44.6,75,75,6.93
105,Faanui,PF,-16.48,79.53,76,98,11.12
106,Bredasdorp,ZA,-34.53,53.6,81,44,8.05
107,Sawakin,SD,19.1,92.13,27,100,1.99
108,Puerto Ayora,EC,-0.74,76.08,61,20,19.46
109,Rikitea,PF,-23.12,74.49,85,8,14.23
110,Ushuaia,AR,-54.81,41.0,86,20,2.66
111,Punta Arenas,CL,-53.16,39.09,93,75,8.05
112,Baykit,RU,61.68,50.73,96,47,2.68
113,Srednekolymsk,RU,67.46,49.47,61,41,18.59
114,Barrow,AR,-38.31,56.31,51,96,8.81
115,Barcelos,BR,-0.97,87.27,57,21,4.68
